1	que	que
2	de	de
3	no	no
4	a	a
5	la	la
6	el	el
7	es	ser
8	y	y
9	en	en
10	lo	lo
11	un	un
12	por	por
13	qué	qué
14	me	me
15	una	un
16	te	te
17	los	lo
18	se	se
19	con	con
20	para	para
21	mi	mi
22	está	estar
23	si	si
24	bien	bien
25	pero	pero
26	yo	yo
27	eso	eso
28	las	la
29	sí	sí
30	su	su
31	tu	tu
32	aquí	aquí
33	del	del
34	al	al
35	como	como
36	le	le
37	más	más
38	esto	esto
39	ya	ya
40	todo	todo
41	esta	esta
42	vamos	ir
43	muy	muy
44	hay	haber
45	ahora	ahora
46	algo	algo
47	estoy	estar
48	tengo	tener
49	nos	nos
50	tú	tú
51	nada	nada
52	cuando	cuando
53	ha	haber
54	este	este
55	sé	saber
56	estás	estar
57	así	así
58	puedo	poder
59	cómo	cómo
60	quiero	querer
61	sólo	sólo
62	soy	ser
63	tiene	tener
64	gracias	gracias
65	o	o
66	él	él
67	bueno	bueno
68	fue	ir
69	ser	ser
70	hacer	hacer
71	son	ser
72	todos	todo
73	era	ser
74	eres	ser
75	vez	vez
76	tienes	tener
77	creo	creer
78	ella	ella
79	he	haber
80	ese	ese
81	voy	ir
82	puede	poder
83	sabes	saber
84	hola	hola
85	sus	su
86	porque	porque
87	dios	dios
88	quién	quién
89	nunca	nunca
90	dónde	dónde
91	quieres	querer
92	casa	casar
93	favor	favor
94	esa	ese
95	dos	dos
96	tan	tanto
97	señor	señor
98	tiempo	tiempo
99	verdad	verdad
100	estaba	estar
101	mejor	mejor
102	están	estar
103	va	ir
104	hombre	hombre
105	usted	usted
106	mucho	mucho
107	hace	hacer
108	entonces	entonces
109	siento	sentar
110	tenemos	tener
111	puedes	poder
112	ahí	ahí
113	ti	ti
114	vida	vida
115	ver	ver
116	alguien	alguien
117	sr	señor
118	hasta	hasta
119	sin	sin
120	mí	mí
121	solo	solo
122	años	año
123	sobre	sobre
124	decir	decir
125	uno	uno
126	siempre	siempre
127	oh	oh
128	ir	ir
129	cosas	coser
130	también	también
131	antes	antes
132	has	haber
133	ni	ni
134	mis	mi
135	día	día
136	estar	estar
137	estamos	estar
138	noche	noche
139	nadie	nadie
140	otra	otro
141	quiere	querer
142	parece	parecer
143	nosotros	nosotros
144	poco	poco
145	padre	padre
146	trabajo	trabajar
147	gente	gente
148	mira	mirar
149	vas	ir
150	sea	ser
151	les	les
152	donde	donde
153	mismo	mismo
154	hecho	hecho
155	ellos	ellos
156	dijo	decir
157	pasa	pasar
158	dinero	dinero
159	hijo	hijo
160	tal	tal
161	otro	otro
162	hablar	hablar
163	seguro	seguro
164	claro	claro
165	estas	este
166	lugar	lugar
167	mundo	mundo
168	amigo	amigo
169	espera	espera
170	mierda	mierda
171	han	haber
172	tus	tu
173	sabe	saber
174	después	después
175	momento	momento
176	desde	desde
177	fuera	ser
178	cosa	coser
179	tipo	tipo
180	mañana	mañana
181	podemos	poder
182	dije	decir
183	gran	grande
184	necesito	necesitar
185	estado	estado
186	podría	poder
187	acuerdo	acuerdo
188	papá	papá
